Project Type,Team Size,Budget ($k),Duration (months),Stakeholder Count,Methodology Used,Team Experience,Risk Level
Mobile App,6,54,19,3,Waterfall,Senior,Medium
Cloud Migration,9,159,30,3,Agile,Junior,Medium
ERP Implementation,7,31,28,6,Waterfall,Senior,Medium
Cybersecurity Solution,16,92,18,7,Waterfall,Senior,High
E-Commerce Platform,7,311,2,3,Waterfall,Junior,Medium
Mobile App,15,20,36,4,Agile,Junior,Medium
Cybersecurity Solution,5,39,24,5,Kanban,Junior,Medium
Cybersecurity Solution,28,80,24,2,Agile,Senior,Medium
Cybersecurity Solution,13,278,28,5,Scrum,Junior,High
CRM System,11,314,1,6,Kanban,Mixed,Medium
Web Application,11,129,32,7,Agile,Senior,Medium
E-Commerce Platform,3,71,2,4,Hybrid,Mixed,Medium
ERP Implementation,6,108,28,4,Agile,Mixed,Medium
Mobile App,6,67,27,5,Waterfall,Mixed,Medium
Mobile App,7,63,12,4,Hybrid,Mixed,Medium
AI / ML Project,9,82,32,6,Hybrid,Junior,High
CRM System,12,302,24,9,Kanban,Junior,High
E-Commerce Platform,5,329,20,6,Waterfall,Senior,Medium
Cloud Migration,3,308,26,9,Kanban,Mixed,High
AI / ML Project,15,114,33,5,Agile,Senior,Medium
Mobile App,3,173,35,8,Waterfall,Senior,High
Data Analytics Platform,8,119,22,9,Hybrid,Junior,High
Data Analytics Platform,11,56,28,9,Waterfall,Mixed,High
Cloud Migration,5,85,3,6,Scrum,Senior,Low
IoT Development,28,156,2,6,Agile,Mixed,Medium
IoT Development,5,76,7,8,Agile,Senior,Medium
Cloud Migration,8,143,22,2,Waterfall,Senior,Medium
ERP Implementation,14,66,33,8,Kanban,Senior,Medium
Data Analytics Platform,4,134,19,2,Agile,Mixed,Medium
E-Commerce Platform,26,233,1,5,Hybrid,Senior,Medium
Cybersecurity Solution,5,1002,3,3,Agile,Senior,Medium
IoT Development,3,221,12,4,Waterfall,Junior,High
Web Application,9,110,10,5,Hybrid,Mixed,Medium
Cloud Migration,9,158,27,9,Waterfall,Junior,High
AI / ML Project,5,90,35,7,Hybrid,Junior,High
CRM System,6,222,36,10,Scrum,Senior,Medium
CRM System,12,102,17,5,Agile,Mixed,Medium
ERP Implementation,25,102,28,11,Agile,Senior,High
Cybersecurity Solution,7,158,5,12,Kanban,Mixed,Medium
AI / ML Project,7,221,1,9,Scrum,Senior,Medium
E-Commerce Platform,6,35,28,9,Hybrid,Junior,Medium
ERP Implementation,7,504,32,5,Kanban,Mixed,High
Mobile App,10,78,1,7,Waterfall,Junior,Medium
ERP Implementation,9,69,26,4,Agile,Senior,Medium
E-Commerce Platform,7,702,29,4,Kanban,Junior,High
E-Commerce Platform,21,48,33,8,Scrum,Senior,Medium
CRM System,2,180,5,11,Kanban,Mixed,Medium
Cybersecurity Solution,10,37,8,4,Waterfall,Senior,Medium
Mobile App,14,215,23,5,Kanban,Mixed,Medium
IoT Development,6,31,27,6,Waterfall,Mixed,High
E-Commerce Platform,10,124,17,7,Agile,Mixed,Medium
Web Application,3,55,25,5,Hybrid,Senior,Medium
ERP Implementation,4,71,21,6,Kanban,Junior,High
Cloud Migration,3,869,30,2,Kanban,Senior,High
Data Analytics Platform,16,174,15,6,Agile,Mixed,Medium
ERP Implementation,4,212,23,5,Kanban,Senior,Medium
Web Application,5,125,17,6,Kanban,Mixed,Low
CRM System,7,159,34,8,Waterfall,Junior,High
IoT Development,6,85,4,5,Hybrid,Junior,Medium
Web Application,2,173,11,8,Agile,Senior,Medium
Mobile App,12,89,19,6,Waterfall,Senior,Medium
CRM System,22,328,6,4,Waterfall,Senior,Medium
ERP Implementation,13,314,17,5,Agile,Senior,Medium
CRM System,11,274,11,6,Kanban,Junior,Medium
Cloud Migration,13,95,21,7,Kanban,Senior,Medium
E-Commerce Platform,11,185,33,8,Agile,Senior,Medium
Data Analytics Platform,23,39,15,9,Hybrid,Mixed,Medium
IoT Development,11,650,13,5,Scrum,Senior,Medium
CRM System,5,353,31,9,Waterfall,Junior,High
Data Analytics Platform,9,116,12,3,Waterfall,Mixed,Medium
Web Application,9,86,9,8,Kanban,Senior,Low
Data Analytics Platform,21,156,15,4,Kanban,Junior,High
Web Application,6,319,11,7,Waterfall,Senior,Medium
Web Application,8,378,22,8,Agile,Junior,Medium
Web Application,5,67,19,8,Hybrid,Junior,Medium
Cybersecurity Solution,8,89,4,7,Agile,Mixed,Medium
CRM System,4,344,1,6,Agile,Senior,Low
ERP Implementation,17,695,35,7,Kanban,Senior,High
CRM System,18,199,18,7,Agile,Mixed,Medium
E-Commerce Platform,6,22,35,8,Agile,Junior,Medium
Mobile App,5,1032,9,6,Scrum,Mixed,Medium
E-Commerce Platform,20,177,34,4,Scrum,Mixed,Medium
Web Application,4,638,7,8,Waterfall,Junior,High
E-Commerce Platform,12,311,35,7,Hybrid,Junior,High
Data Analytics Platform,15,207,2,4,Agile,Junior,Medium
Cybersecurity Solution,6,280,30,1,Scrum,Junior,Medium
E-Commerce Platform,5,269,12,12,Agile,Mixed,Medium
CRM System,10,310,14,3,Agile,Junior,Medium
CRM System,6,268,35,4,Kanban,Junior,High
Web Application,3,181,26,5,Kanban,Junior,High
Mobile App,9,188,2,2,Agile,Junior,Medium
E-Commerce Platform,16,282,35,1,Scrum,Mixed,Medium
Data Analytics Platform,3,1537,10,4,Scrum,Junior,High
ERP Implementation,7,301,18,2,Scrum,Junior,Medium
E-Commerce Platform,28,26,24,11,Hybrid,Mixed,High
Cloud Migration,6,96,10,2,Scrum,Senior,Low
Cybersecurity Solution,25,226,23,9,Scrum,Junior,High
Data Analytics Platform,5,1238,14,5,Hybrid,Junior,High
Web Application,15,139,25,4,Kanban,Senior,Medium
Cybersecurity Solution,11,69,13,11,Waterfall,Senior,Medium
IoT Development,16,83,13,8,Waterfall,Junior,High
AI / ML Project,14,106,30,1,Scrum,Senior,Medium
Cybersecurity Solution,8,71,2,8,Agile,Junior,Medium
Cybersecurity Solution,12,240,28,6,Waterfall,Junior,High
Mobile App,10,167,1,4,Kanban,Junior,Medium
Data Analytics Platform,7,400,12,1,Scrum,Junior,Medium
AI / ML Project,5,607,23,7,Agile,Senior,High
AI / ML Project,5,184,22,5,Waterfall,Senior,High
Mobile App,15,28,15,7,Scrum,Senior,Low
AI / ML Project,4,641,7,3,Kanban,Senior,Medium
IoT Development,9,136,14,5,Hybrid,Junior,High
IoT Development,9,330,8,2,Agile,Mixed,Medium
E-Commerce Platform,3,98,31,9,Agile,Senior,Medium
Cloud Migration,2,39,33,2,Scrum,Mixed,Medium
Mobile App,7,118,33,7,Waterfall,Mixed,Medium
AI / ML Project,10,179,9,8,Kanban,Junior,High
Mobile App,18,485,26,3,Kanban,Junior,High
Cybersecurity Solution,11,705,25,8,Hybrid,Junior,High
IoT Development,11,153,10,5,Waterfall,Junior,High
IoT Development,25,410,4,6,Hybrid,Junior,High
CRM System,6,577,36,8,Kanban,Senior,Medium
Cloud Migration,11,198,14,6,Kanban,Senior,Medium
Cybersecurity Solution,9,402,36,4,Waterfall,Senior,High
Cybersecurity Solution,7,363,1,7,Hybrid,Senior,Medium
Mobile App,8,280,28,5,Agile,Mixed,Medium
Mobile App,5,169,35,5,Waterfall,Senior,Medium
Cybersecurity Solution,28,168,31,5,Agile,Mixed,High
Cloud Migration,4,157,8,7,Kanban,Junior,Medium
IoT Development,24,144,17,12,Agile,Senior,High
Cloud Migration,8,305,25,13,Kanban,Mixed,High
Cloud Migration,8,46,21,5,Waterfall,Junior,High
E-Commerce Platform,8,222,2,5,Hybrid,Junior,Medium
Web Application,6,42,15,7,Hybrid,Junior,Medium
Cloud Migration,2,293,25,5,Agile,Senior,High
CRM System,9,938,29,7,Kanban,Senior,Medium
E-Commerce Platform,4,62,13,6,Kanban,Junior,Medium
Mobile App,14,227,13,9,Waterfall,Senior,Medium
ERP Implementation,5,77,19,7,Kanban,Junior,High
IoT Development,16,1368,22,4,Kanban,Senior,High
ERP Implementation,6,137,2,6,Scrum,Junior,Medium
Web Application,6,210,32,2,Hybrid,Mixed,Medium
Web Application,18,87,6,3,Hybrid,Junior,Medium
Data Analytics Platform,13,183,8,10,Waterfall,Mixed,Medium
Cybersecurity Solution,8,60,16,3,Scrum,Senior,Low
ERP Implementation,5,145,30,8,Agile,Junior,High
ERP Implementation,3,92,16,3,Scrum,Junior,High
ERP Implementation,5,52,2,11,Hybrid,Mixed,Medium
Data Analytics Platform,22,159,35,6,Hybrid,Junior,High
Mobile App,2,100,14,9,Scrum,Junior,Medium
CRM System,7,56,34,1,Agile,Junior,Medium
CRM System,4,156,32,6,Hybrid,Mixed,Medium
Data Analytics Platform,2,33,31,3,Agile,Junior,High
Data Analytics Platform,29,169,9,4,Scrum,Mixed,Medium
Cloud Migration,4,344,4,9,Waterfall,Mixed,High
IoT Development,4,51,14,4,Kanban,Mixed,Medium
Cybersecurity Solution,6,210,23,3,Hybrid,Junior,High
Mobile App,5,146,35,5,Hybrid,Junior,Medium
AI / ML Project,16,286,35,10,Hybrid,Junior,High
Mobile App,14,1034,34,6,Kanban,Mixed,Medium
IoT Development,28,86,8,3,Hybrid,Mixed,Medium
AI / ML Project,2,44,11,8,Kanban,Junior,High
E-Commerce Platform,3,348,8,6,Kanban,Junior,High
Cloud Migration,9,87,10,9,Waterfall,Senior,Medium
E-Commerce Platform,22,86,14,5,Waterfall,Senior,Medium
Cybersecurity Solution,17,44,32,8,Agile,Mixed,High
E-Commerce Platform,4,130,22,4,Waterfall,Senior,Medium
IoT Development,11,92,23,11,Kanban,Mixed,High
Mobile App,7,122,34,7,Hybrid,Senior,Medium
Cloud Migration,2,73,34,8,Scrum,Mixed,High
E-Commerce Platform,12,98,21,1,Hybrid,Senior,Medium
ERP Implementation,4,102,17,6,Agile,Mixed,Medium
E-Commerce Platform,8,373,31,3,Agile,Senior,Medium
AI / ML Project,10,244,19,4,Hybrid,Mixed,High
Cybersecurity Solution,5,579,11,5,Waterfall,Mixed,High
Cloud Migration,10,195,10,2,Agile,Mixed,Medium
AI / ML Project,14,168,19,8,Kanban,Senior,Medium
IoT Development,3,144,1,2,Scrum,Mixed,Medium
CRM System,5,115,20,3,Agile,Senior,Low
CRM System,5,67,28,8,Agile,Senior,Medium
Mobile App,9,25,33,5,Hybrid,Senior,Medium
AI / ML Project,17,421,14,9,Hybrid,Junior,High
Data Analytics Platform,3,101,7,9,Hybrid,Junior,High
Data Analytics Platform,15,55,22,6,Agile,Junior,Medium
Web Application,7,125,32,5,Agile,Mixed,Medium
AI / ML Project,16,114,28,2,Waterfall,Mixed,High
E-Commerce Platform,7,159,35,7,Kanban,Junior,Medium
E-Commerce Platform,5,205,21,7,Scrum,Mixed,Medium
Data Analytics Platform,9,301,33,5,Agile,Senior,Medium
Web Application,13,201,16,8,Waterfall,Mixed,Medium
Data Analytics Platform,10,94,5,9,Agile,Senior,Medium
Cybersecurity Solution,5,167,30,4,Scrum,Junior,High
Cybersecurity Solution,4,81,11,9,Agile,Junior,Medium
CRM System,10,103,8,2,Agile,Mixed,Medium
Cybersecurity Solution,16,86,21,7,Kanban,Senior,Medium
IoT Development,5,189,23,4,Scrum,Senior,Medium
Cybersecurity Solution,4,481,20,2,Scrum,Senior,Medium
CRM System,26,210,3,5,Agile,Senior,Medium
CRM System,14,268,14,2,Scrum,Mixed,Medium
Data Analytics Platform,5,160,25,5,Hybrid,Senior,Medium
CRM System,16,107,22,5,Agile,Mixed,High
CRM System,8,76,20,4,Waterfall,Senior,Medium
Cloud Migration,16,54,19,8,Agile,Mixed,High
IoT Development,6,1047,2,6,Hybrid,Senior,Medium
Mobile App,2,306,19,6,Agile,Junior,High
Data Analytics Platform,4,123,8,2,Scrum,Senior,Low
ERP Implementation,13,228,9,6,Agile,Junior,High
E-Commerce Platform,10,140,1,11,Scrum,Mixed,Low
Cybersecurity Solution,11,105,4,5,Scrum,Mixed,Medium
Web Application,3,121,2,4,Agile,Mixed,Medium
E-Commerce Platform,9,178,28,10,Kanban,Senior,Medium
Web Application,6,126,24,10,Kanban,Mixed,Medium
CRM System,15,131,11,7,Waterfall,Mixed,Medium
Cloud Migration,4,112,20,3,Scrum,Mixed,Medium
Cybersecurity Solution,6,219,5,7,Kanban,Senior,Medium
Data Analytics Platform,27,54,26,1,Scrum,Junior,High
Cloud Migration,6,117,30,7,Scrum,Mixed,Medium
Web Application,3,56,17,7,Scrum,Mixed,Medium
E-Commerce Platform,7,56,21,6,Agile,Mixed,Medium
ERP Implementation,7,123,17,7,Kanban,Senior,Medium
Web Application,11,663,12,3,Scrum,Senior,Medium
AI / ML Project,10,92,6,7,Waterfall,Junior,High
E-Commerce Platform,4,86,11,11,Agile,Mixed,Medium
ERP Implementation,2,42,8,6,Waterfall,Mixed,High
E-Commerce Platform,7,408,10,5,Hybrid,Junior,Medium
CRM System,25,349,7,1,Hybrid,Mixed,Medium
E-Commerce Platform,2,440,15,7,Hybrid,Mixed,Medium
Cloud Migration,7,128,30,4,Waterfall,Mixed,High
Web Application,10,210,17,4,Kanban,Junior,Medium
IoT Development,6,60,3,10,Agile,Senior,Low
Mobile App,9,10,10,7,Waterfall,Junior,Medium
Data Analytics Platform,8,79,31,3,Agile,Junior,Medium
AI / ML Project,12,84,32,9,Agile,Junior,High
ERP Implementation,8,178,18,8,Scrum,Senior,Medium
Mobile App,9,237,13,5,Kanban,Junior,Medium
CRM System,7,147,28,5,Hybrid,Mixed,Medium
ERP Implementation,15,180,36,8,Kanban,Senior,Medium
Mobile App,4,467,28,5,Agile,Mixed,Medium
Mobile App,2,365,10,8,Kanban,Junior,High
Cloud Migration,11,268,24,6,Kanban,Senior,Medium
E-Commerce Platform,5,74,30,5,Scrum,Senior,Medium
Data Analytics Platform,5,350,16,7,Waterfall,Senior,Medium
Data Analytics Platform,7,35,3,8,Waterfall,Senior,Low
Cloud Migration,7,474,32,3,Kanban,Junior,High
AI / ML Project,4,470,19,6,Waterfall,Mixed,High
Cybersecurity Solution,21,117,31,3,Scrum,Senior,Medium
IoT Development,9,55,27,11,Waterfall,Senior,High
IoT Development,7,194,17,12,Waterfall,Mixed,High
CRM System,8,176,26,4,Waterfall,Mixed,Medium
IoT Development,6,381,30,8,Scrum,Senior,Medium
ERP Implementation,2,258,21,5,Scrum,Junior,High
Cybersecurity Solution,2,982,10,8,Hybrid,Senior,High
Cybersecurity Solution,2,137,26,6,Scrum,Mixed,High
E-Commerce Platform,4,37,5,3,Kanban,Mixed,Low
IoT Development,24,37,21,10,Agile,Junior,High
Cloud Migration,4,48,19,4,Scrum,Junior,Medium
CRM System,17,65,27,8,Kanban,Senior,Medium
E-Commerce Platform,6,276,10,2,Hybrid,Junior,Medium
CRM System,6,86,36,8,Hybrid,Junior,High
CRM System,19,86,21,4,Agile,Mixed,High
Cloud Migration,5,30,32,3,Hybrid,Mixed,Medium
AI / ML Project,11,105,1,5,Hybrid,Senior,Medium
Web Application,3,115,17,1,Kanban,Junior,Medium
Mobile App,4,264,3,6,Agile,Senior,Low
E-Commerce Platform,7,303,19,6,Scrum,Senior,Medium
Data Analytics Platform,7,195,19,7,Scrum,Senior,Medium
CRM System,17,250,23,6,Scrum,Junior,High
Mobile App,28,44,8,4,Hybrid,Junior,Medium
E-Commerce Platform,9,444,14,4,Agile,Mixed,Medium
AI / ML Project,10,172,20,6,Hybrid,Mixed,High
Cybersecurity Solution,5,202,26,7,Kanban,Mixed,Medium
E-Commerce Platform,4,72,3,7,Kanban,Mixed,Low
IoT Development,3,137,20,4,Scrum,Mixed,High
Cloud Migration,26,308,33,4,Hybrid,Junior,High
Mobile App,4,131,15,2,Agile,Mixed,Low
Mobile App,12,40,28,9,Kanban,Senior,Medium
ERP Implementation,10,685,35,8,Agile,Junior,High
CRM System,8,444,23,2,Hybrid,Senior,Medium
AI / ML Project,6,118,3,7,Kanban,Senior,Medium
Cloud Migration,5,96,1,7,Waterfall,Junior,Medium
Cloud Migration,16,364,36,7,Agile,Mixed,High
ERP Implementation,8,72,24,6,Hybrid,Junior,High
